genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords
Drama|History|War,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages ,10718,481,Walter Long,1,huguenot|intolerance|medicis|protestant|wedding
Crime|Drama,Stephen Carr,Over the Hill to the Poorhouse ,5,4,Mary Carr,1,family relationships|gang|idler|poorhouse|thief
Drama|Romance|War,John Gilbert,The Big Parade ,4849,108,Claire Adams,0,chewing gum|climbing a tree|france|translation problems|world war one
Drama|Sci-Fi,Brigitte Helm,Metropolis ,111841,203,Rudolf Klein-Rogge,1,art deco|bible quote|dance|silent film|worker
Crime|Drama|Romance,Louise Brooks,Pandora's Box ,7431,455,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence
Musical|Romance,Anita Page,The Broadway Melody ,4546,109,Charles King,8,sibling rivalry|singer|sister act|whistling|wisecrack humor
Drama|War,Jean Harlow,Hell's Angels ,3753,457,James Hall,1,bomb|bombing mission|munitions|oxford|royal flying corps
Drama|Romance|War,Gary Cooper,A Farewell to Arms ,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse
Comedy|Musical|Romance,Ginger Rogers,42nd Street ,7921,995,George Brent,2,chorus girl|chorus line|director|gala premiere|song
Comedy|Drama|History|Musical|Romance,Mae West,She Done Him Wrong ,4152,583,Louise Beavers,1,captain|marriage proposal|saloon|saloon singer|singer
Comedy|Romance,Claudette Colbert,It Happened One Night ,64888,540,Walter Connolly,1,bus|detective|love|money|reporter
Comedy|Musical|Romance,Ginger Rogers,Top Hat ,13269,824,Eric Blore,2,dance|dancer|dancing|horse|tap dancing
